排名: 86 	 电影名字: 布达佩斯大饭店 		 评分: 8.8 		 短评: 小清新的故事里注入了大历史的情怀。
排名: 87 	 电影名字: 阿凡达 		 评分: 8.7 		 短评: 绝对意义上的美轮美奂。
排名: 88 	 电影名字: 剪刀手爱德华 		 评分: 8.7 		 短评: 浪漫忧郁的成人童话。
排名: 89 	 电影名字: 勇敢的心 		 评分: 8.9 		 短评: 史诗大片的典范。
排名: 90 	 电影名字: 摩登时代 		 评分: 9.3 		 短评: 大时代中的人生，小人物的悲喜。
排名: 91 	 电影名字: 天使爱美丽 		 评分: 8.7 		 短评: 法式小清新。 
排名: 92 	 电影名字: 喜剧之王 		 评分: 8.7 		 短评: 我是一个演员。
排名: 93 	 电影名字: 致命ID 		 评分: 8.8 		 短评: 最不可能的那个人永远是最可能的。
排名: 94 	 电影名字: 加勒比海盗 		 评分: 8.7 		 短评: 约翰尼·德普的独角戏。
排名: 95 	 电影名字: 断背山 		 评分: 8.8 		 短评: 每个人心中都有一座断背山。
排名: 96 	 电影名字: 杀人回忆 		 评分: 8.8 		 短评: 关于连环杀人悬案的集体回忆。
排名: 97 	 电影名字: 狩猎 		 评分: 9.1 		 短评: 人言可畏。
排名: 98 	 电影名字: 幽灵公主 		 评分: 8.9 		 短评: 人与自然的战争史诗。
排名: 99 	 电影名字: 哈利·波特与死亡圣器(下) 		 评分: 8.8 		 短评: 10年的完美句点。
排名: 100 	 电影名字: 请以你的名字呼唤我 		 评分: 8.9 		 短评: 沉醉在电影的情感和视听氛围中无法自拔。
排名: 101 	 电影名字: 阳光灿烂的日子 		 评分: 8.8 		 短评: 一场华丽的意淫。
排名: 102 	 电影名字: 入殓师 		 评分: 8.8 		 短评: 死可能是一道门，逝去并不是终结，而是超越，走向下一程。
排名: 103 	 电影名字: 重庆森林 		 评分: 8.7 		 短评: 寂寞没有期限。
排名: 104 	 电影名字: 小森林 夏秋篇 		 评分: 9.0 		 短评: 那些静得只能听见呼吸的日子里，你明白孤独即生活。
排名: 105 	 电影名字: 第六感 		 评分: 8.9 		 短评: 深入内心的恐怖，出人意料的结局。
排名: 106 	 电影名字: 7号房的礼物 		 评分: 8.9 		 短评: 《我是山姆》的《美丽人生》。
排名: 107 	 电影名字: 消失的爱人 		 评分: 8.7 		 短评: 年度最佳date movie。
排名: 108 	 电影名字: 红辣椒 		 评分: 9.0 		 短评: 梦的勾结。
排名: 109 	 电影名字: 小森林 冬春篇 		 评分: 9.0 		 短评: 尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
排名: 110 	 电影名字: 爱在黎明破晓前 		 评分: 8.8 		 短评: 缘分是个连绵词，最美不过一瞬。
排名: 111 	 电影名字: 侧耳倾听 		 评分: 8.9 		 短评: 少女情怀总是诗。
排名: 112 	 电影名字: 玛丽和马克思 		 评分: 8.9 		 短评: 你是我最好的朋友，你是我唯一的朋友 。
排名: 113 	 电影名字: 一一 		 评分: 9.0 		 短评: 我们都曾经是一一。
